,klub,pilkarz,pozycja,data_urodzenia,wzrost,dominujaca_noga,kontrakt_od,kontrakt_do,wartosc_eur,liga
0,Bayern Monachium,Manuel Neuer ,Bramkarz,27 mar 1986 (36),"1,93m",prawonożny,1 lip 2011,30 cze 2024,"12,00 mln €",bundesliga
1,Bayern Monachium,Sven Ulreich,Bramkarz,3 sie 1988 (34),"1,92m",prawonożny,1 lip 2021,30 cze 2024,900 tys. €,bundesliga
2,Bayern Monachium,Johannes Schenk,Bramkarz,13 sty 2003 (20),"1,91m", ,1 lip 2022,30 cze 2024,300 tys. €,bundesliga
3,Bayern Monachium,Matthijs de Ligt,Środkowy obrońca,12 sie 1999 (23),"1,89m",prawonożny,19 lip 2022,30 cze 2027,"70,00 mln €",bundesliga
4,Bayern Monachium,Dayot Upamecano,Środkowy obrońca,27 paź 1998 (24),"1,86m",prawonożny,5 lip 2021,30 cze 2026,"60,00 mln €",bundesliga
5,Bayern Monachium,Lucas Hernández ,Środkowy obrońca,14 lut 1996 (26),"1,84m",lewonożny,1 lip 2019,30 cze 2024,"50,00 mln €",bundesliga
6,Bayern Monachium,Alphonso Davies,Lewy obrońca,2 lis 2000 (22),"1,85m",lewonożny,1 sty 2019,30 cze 2025,"70,00 mln €",bundesliga
7,Bayern Monachium,Daley Blind,Lewy obrońca,9 mar 1990 (32),"1,80m",lewonożny,5 sty 2023,30 cze 2023,"6,00 mln €",bundesliga
8,Bayern Monachium,Benjamin Pavard,Prawy obrońca,28 mar 1996 (26),"1,86m",prawonożny,1 lip 2019,30 cze 2024,"35,00 mln €",bundesliga
9,Bayern Monachium,Noussair Mazraoui ,Prawy obrońca,14 lis 1997 (25),"1,83m",prawonożny,1 lip 2022,30 cze 2026,"28,00 mln €",bundesliga
10,Bayern Monachium,Josip Stanisic,Prawy obrońca,2 kwi 2000 (22),"1,87m",obunożny,1 sie 2021,30 cze 2026,"8,00 mln €",bundesliga
11,Bayern Monachium,Bouna Sarr,Prawy obrońca,31 sty 1992 (30),"1,77m",prawonożny,5 paź 2020,30 cze 2024,"2,50 mln €",bundesliga
12,Bayern Monachium,Joshua Kimmich,Defensywny pomocnik,8 lut 1995 (27),"1,77m",prawonożny,2 lip 2015,30 cze 2025,"80,00 mln €",bundesliga
13,Bayern Monachium,Leon Goretzka,Środkowy pomocnik,6 lut 1995 (27),"1,89m",prawonożny,1 lip 2018,30 cze 2026,"65,00 mln €",bundesliga
14,Bayern Monachium,Ryan Gravenberch,Środkowy pomocnik,16 maj 2002 (20),"1,90m",prawonożny,1 lip 2022,30 cze 2027,"30,00 mln €",bundesliga
15,Bayern Monachium,Marcel Sabitzer ,Środkowy pomocnik,17 mar 1994 (28),"1,77m",prawonożny,30 sie 2021,30 cze 2025,"20,00 mln €",bundesliga
16,Bayern Monachium,Jamal Musiala,Ofensywny pomocnik,26 lut 2003 (19),"1,84m",prawonożny,1 lip 2020,30 cze 2026,"100,00 mln €",bundesliga
17,Bayern Monachium,Paul Wanner,Ofensywny pomocnik,23 gru 2005 (17),"1,85m",lewonożny,31 sty 2022,30 cze 2027,"3,00 mln €",bundesliga
18,Bayern Monachium,Arijon Ibrahimovic,Ofensywny pomocnik,11 gru 2005 (17),"1,76m",prawonożny,17 sty 2023,30 cze 2025,-,bundesliga
19,Bayern Monachium,Leroy Sané,Lewy napastnik,11 sty 1996 (27),"1,83m",lewonożny,15 lip 2020,30 cze 2025,"70,00 mln €",bundesliga
20,Bayern Monachium,Sadio Mané ,Lewy napastnik,10 kwi 1992 (30),"1,74m",prawonożny,1 lip 2022,30 cze 2025,"60,00 mln €",bundesliga
21,Bayern Monachium,Serge Gnabry,Prawy napastnik,14 lip 1995 (27),"1,76m",prawonożny,1 lip 2017,30 cze 2026,"65,00 mln €",bundesliga
