,NAME,POSITIONS,OVA,POT,TEAM,CONTRACT_LENGTH,ATTACKING,SKILL,MOVEMENT,POWER,MENTALITY,DEFENDING,TOTAL,PAC,SHO,PAS,DRI,DEF,PHY,FULL_NAME,AGE,VALUE_EUR,SALARY_EUR
0,K. Mbappé,ST LW ,91,95,Paris Saint Germain,2018 ~ 2024,411,404,461,410,357,92,2177,97,89,80,92,36,76,Kylian Mbappé,23,190500000.0,230000.0
1,E. Haaland,ST ,89,94,Manchester City,2022 ~ 2027,382,352,415,429,371,126,2127,89,91,65,80,49,88,Erling Haaland,21,160000000.0,230000.0
2,F. de Jong,CM ,87,92,FC Barcelona,2019 ~ 2026,383,413,417,373,374,229,2238,82,69,86,87,77,78,Frenkie de Jong,25,116500000.0,230000.0
3,M. Salah,RW ,90,90,Liverpool,2017 ~ 2023,400,408,453,399,381,122,2225,90,89,82,90,45,75,Mohamed Salah,30,115500000.0,270000.0
4,P. Foden,LW CF CAM ,85,92,Manchester City,2016 ~ 2027,351,404,429,338,354,166,2094,82,78,83,88,57,60,Phil Foden,22,109500000.0,180000.0
5,Vinícius Jr.,LW ,86,92,Real Madrid,2018 ~ 2025,353,393,449,373,306,75,1985,95,79,74,90,29,67,Vinícius José de Oliveira Júnior,21,109000000.0,200000.0
6,K. De Bruyne,CM CAM ,91,91,Manchester City,2015 ~ 2025,410,442,394,409,404,183,2298,74,88,93,87,63,77,Kevin De Bruyne,31,107500000.0,350000.0
7,Rúben Dias,CB ,88,91,Manchester City,2020 ~ 2027,284,308,329,350,312,264,1894,63,39,66,68,88,88,Rúben Santos Gato Alves Dias,25,107500000.0,230000.0
8,H. Kane,ST ,89,89,Tottenham Hotspur,2010 ~ 2024,429,402,370,423,397,124,2199,69,91,83,83,47,82,Harry Kane,28,105500000.0,240000.0
9,J. Kimmich,CDM RB CM ,89,90,FC Bayern München,2015 ~ 2025,387,411,393,402,383,247,2283,68,72,87,84,83,79,Joshua Kimmich,27,105500000.0,130000.0
10,Pedri,CM ,85,92,FC Barcelona,2020 ~ 2026,329,401,421,359,352,204,2112,79,67,81,87,68,74,Pedro González López,19,104500000.0,115000.0
11,G. Donnarumma,GK ,88,92,Paris Saint Germain,2021 ~ 2026,80,118,292,255,154,50,1375,90,83,79,89,52,85,Gianluigi Donnarumma,23,103500000.0,110000.0
12,S. Mané,CF LM ,89,89,FC Bayern München,2022 ~ 2025,406,386,449,405,359,122,2183,88,82,80,88,44,77,Sadio Mané,30,101000000.0,155000.0
13,Neymar Jr,LW ,89,89,Paris Saint Germain,2017 ~ 2025,400,445,437,353,367,96,2157,87,83,85,93,37,61,Neymar da Silva Santos Jr.,30,99500000.0,200000.0
14,L. Martínez,ST ,86,90,Inter,2018 ~ 2026,396,375,430,409,375,130,2163,83,83,72,85,48,84,Lautaro Martínez,24,98500000.0,110000.0
15,Bernardo Silva,CAM CM ,88,88,Manchester City,2017 ~ 2025,382,412,422,355,378,197,2200,74,78,84,92,66,68,Bernardo Mota Carvalho e Silva,27,97500000.0,260000.0
16,C. Nkunku,CF CAM ST ,86,89,RB Leipzig,2019 ~ 2024,383,419,438,358,361,180,2182,88,81,83,88,62,66,Christopher Nkunku,24,94000000.0,90000.0
17,Marquinhos,CB ,88,90,Paris Saint Germain,2013 ~ 2024,334,323,380,362,368,268,2082,79,56,75,74,89,80,Marcos Aoás Corrêa,28,92000000.0,170000.0
18,L. Goretzka,CM CDM ,87,88,FC Bayern München,2018 ~ 2026,400,406,392,425,397,236,2312,78,82,82,83,81,86,Leon Goretzka,27,91000000.0,115000.0
19,T. Courtois,GK ,90,91,Real Madrid,2018 ~ 2026,86,110,286,249,122,54,1334,84,89,75,90,46,89,Thibaut Courtois,30,90000000.0,250000.0
20,H. Son,LW LM ST ,88,88,Tottenham Hotspur,2015 ~ 2025,402,403,427,389,346,114,2134,88,89,80,85,42,69,Heung Min Son,29,89500000.0,230000.0
21,N. Barella,CM ,86,89,Inter,2020 ~ 2026,371,398,426,401,407,240,2297,79,76,83,84,78,81,Nicolò Barella,25,89500000.0,110000.0
22,Rodri,CDM ,87,89,Manchester City,2019 ~ 2027,352,372,328,415,369,248,2133,58,72,78,79,83,84,Rodrigo Hernández Cascante,26,88500000.0,200000.0
23,Ederson,GK ,89,91,Manchester City,2017 ~ 2026,127,164,323,273,206,52,1582,87,82,93,87,64,88,Ederson Santana de Moraes,28,88000000.0,210000.0
24,D. Vlahović,ST ,84,91,Juventus,2022 ~ 2026,373,379,361,404,328,69,1961,80,85,66,79,29,81,Dušan Vlahović,22,86500000.0,140000.0
25,T. Alexander-Arnold,RB ,86,89,Liverpool,2015 ~ 2025,373,426,381,378,375,238,2227,76,69,89,80,79,72,Trent Alexander-Arnold,23,86000000.0,140000.0
26,Casemiro,CDM ,89,89,Manchester United,2022 ~ 2026,356,379,341,432,399,265,2239,63,73,78,73,88,89,Carlos Henrique Venancio Casimiro,30,86000000.0,240000.0
27,K. Havertz,CAM CF ST ,84,91,Chelsea,2020 ~ 2025,399,386,396,375,327,123,2053,81,79,79,84,45,68,Kai Havertz,23,84500000.0,130000.0
28,V. van Dijk,CB ,89,89,Liverpool,2018 ~ 2025,315,362,362,400,348,268,2113,81,60,71,72,90,86,Virgil van Dijk,30,84500000.0,220000.0
29,R. Lewandowski,ST ,91,91,FC Barcelona,2022 ~ 2025,429,408,403,423,395,96,2205,75,91,79,86,44,83,Robert Lewandowski,33,84000000.0,420000.0
30,João Cancelo,LB RB ,88,88,Manchester City,2019 ~ 2027,379,408,412,384,376,243,2260,85,73,85,85,81,73,João Pedro Cavaco Cancelo,28,82500000.0,250000.0
31,J. Bellingham,CM ,85,91,Borussia Dortmund,2020 ~ 2025,369,372,390,392,384,233,2188,72,75,79,84,78,80,Jude Bellingham,19,81500000.0,44000.0
32,F. Valverde,CM RW ,85,90,Real Madrid,2016 ~ 2027,363,395,407,407,383,239,2239,88,79,82,81,78,82,Federico Valverde,23,81000000.0,190000.0
33,K. Coman,RM LM ,86,87,FC Bayern München,2015 ~ 2027,376,402,446,364,291,77,1977,92,77,79,87,30,61,Kingsley Coman,26,80000000.0,105000.0
34,M. Maignan,GK ,87,90,Milan,2021 ~ 2026,123,178,285,275,151,58,1496,85,82,85,89,51,85,Mike Maignan,26,80000000.0,90000.0
35,Alisson,GK ,89,90,Liverpool,2018 ~ 2027,139,162,271,240,140,50,1437,86,85,85,89,54,90,Alisson Ramses Becker,29,79000000.0,190000.0
36,J. Oblak,GK ,89,90,Atlético Madrid,2014 ~ 2023,95,109,293,268,149,59,1404,86,90,79,89,46,87,Jan Oblak,29,79000000.0,100000.0
37,J. Musiala,CAM LM CM ,83,92,FC Bayern München,2020 ~ 2026,333,366,427,329,334,196,2027,80,72,74,89,63,60,Jamal Musiala,19,78500000.0,46000.0
38,M. Verratti,CM CAM ,87,87,Paris Saint Germain,2012 ~ 2024,353,421,390,312,406,244,2190,60,61,87,91,79,66,Marco Verratti,29,77500000.0,155000.0
39,S. Milinković-Savić,CM ,86,87,Lazio,2015 ~ 2024,399,417,345,429,382,231,2250,68,80,82,82,79,86,Sergej Milinković-Savić,27,77500000.0,90000.0
40,T. Hernández,LB ,85,90,Milan,2019 ~ 2026,372,363,425,394,363,235,2195,93,72,76,81,78,83,Theo Hernández,24,76000000.0,82000.0
41,A. Rüdiger,CB ,87,88,Real Madrid,2022 ~ 2026,304,320,354,389,326,259,2011,82,53,71,67,86,85,Antonio Rüdiger,29,73500000.0,250000.0
42,Bruno Fernandes,CAM CM ,86,86,Manchester United,2020 ~ 2026,407,419,392,406,414,204,2305,72,86,87,81,68,76,Bruno Miguel Borges Fernandes,27,72500000.0,190000.0
43,B. Saka,RM RW ,83,90,Arsenal,2018 ~ 2024,354,383,421,333,368,201,2110,85,74,78,84,65,65,Bukayo Saka,20,72000000.0,83000.0
44,A. Robertson,LB ,87,87,Liverpool,2017 ~ 2026,324,393,394,363,381,249,2154,80,61,81,81,82,76,Andrew Robertson,28,72000000.0,185000.0
45,Diogo Jota,CF LW ,85,88,Liverpool,2020 ~ 2025,399,376,428,395,376,155,2183,85,83,75,85,57,77,Diogo José Teixeira da Silva,25,72000000.0,170000.0
46,T. Kroos,CM ,88,88,Real Madrid,2014 ~ 2023,398,431,331,354,378,204,2147,53,81,90,81,71,68,Toni Kroos,32,72000000.0,310000.0
47,M. de Ligt,CB ,85,89,FC Bayern München,2022 ~ 2027,307,308,338,409,293,255,1966,70,59,61,68,84,87,Matthijs de Ligt,22,71000000.0,77000.0
48,P. Dybala,CF CAM ,86,86,Roma,2022 ~ 2025,397,439,417,375,342,112,2108,80,85,85,90,40,59,Paulo Dybala,28,69500000.0,130000.0
49,M. Škriniar,CB ,86,87,Inter,2017 ~ 2023,275,276,352,335,305,263,1861,78,41,57,69,88,86,Milan Škriniar,27,68500000.0,105000.0
50,M. ter Stegen,GK ,88,89,FC Barcelona,2014 ~ 2025,118,144,262,267,171,48,1443,86,85,87,90,47,85,Marc-André ter Stegen,30,68500000.0,210000.0
51,Rafael Leão,LW LM ,84,90,Milan,2019 ~ 2024,368,378,427,371,303,67,1971,91,77,73,86,27,74,Rafael da Conceição Leão,23,66500000.0,90000.0
52,F. Wirtz,CAM CM ,82,91,Bayer 04 Leverkusen,2020 ~ 2027,344,386,402,318,331,156,1994,78,73,80,86,51,60,Florian Wirtz,19,66000000.0,38000.0
53,A. Laporte,CB ,86,87,Manchester City,2018 ~ 2025,310,352,319,345,332,259,1962,61,50,72,69,86,79,Aymeric Laporte,28,64500000.0,195000.0
54,N. Kanté,CDM CM ,88,88,Chelsea,2016 ~ 2023,324,333,406,376,384,267,2144,72,66,74,81,86,81,N'Golo Kanté,31,64000000.0,210000.0
55,K. Benzema,CF ST ,91,91,Real Madrid,2009 ~ 2023,434,409,401,410,367,85,2147,80,88,83,87,39,78,Karim Benzema,34,64000000.0,450000.0
56,M. Ødegaard,CAM CM ,84,89,Arsenal,2021 ~ 2026,375,422,395,336,357,165,2112,76,75,86,84,58,63,Martin Ødegaard,23,63500000.0,105000.0
57,S. Tonali,CDM CM ,84,90,Milan,2021 ~ 2027,369,395,407,391,382,237,2225,81,73,81,79,79,82,Sandro Tonali,22,62500000.0,75000.0
58,D. Núñez,ST LW ,82,89,Liverpool,2022 ~ 2028,374,352,409,415,358,108,2075,90,82,69,77,42,86,Darwin Núñez,23,61500000.0,120000.0
59,M. Diaby,RM LM LW ,84,88,Bayer 04 Leverkusen,2019 ~ 2025,331,359,448,325,319,129,1958,93,73,75,87,42,59,Moussa Diaby,22,61500000.0,70000.0
60,G. Kobel,GK ,85,89,Borussia Dortmund,2021 ~ 2026,85,116,238,247,119,45,1261,84,84,74,88,44,81,Gregor Kobel,24,61000000.0,48000.0
61,A. Davies,LB LM ,84,89,FC Bayern München,2019 ~ 2025,360,352,443,371,367,224,2164,94,66,77,84,75,77,Alphonso Davies,21,60500000.0,59000.0
62,A. Bastoni,CB ,84,90,Inter,2017 ~ 2024,291,313,346,324,312,256,1890,73,35,69,71,86,82,Alessandro Bastoni,23,60500000.0,75000.0
63,F. Tomori,CB ,84,90,Milan,2021 ~ 2027,277,270,399,341,280,257,1875,86,40,60,66,86,81,Fikayo Tomori,24,60500000.0,75000.0
64,Fabinho,CDM ,86,86,Liverpool,2018 ~ 2026,344,365,341,395,407,258,2157,64,69,78,77,85,83,Fábio Henrique Tavares,28,59500000.0,170000.0
65,João Félix,CF ST ,83,89,Chelsea,"Jun 30, 2023",391,401,418,374,345,107,2102,82,80,80,87,40,67,João Félix Sequeira,22,59000000.0,71000.0
66,N. Süle,CB RB ,85,87,Borussia Dortmund,2022 ~ 2026,290,269,301,359,307,259,1843,72,48,66,59,85,83,Niklas Süle,26,59000000.0,72000.0
67,M. Brozović,CDM CM ,86,86,Inter,2016 ~ 2026,362,400,384,396,389,245,2226,69,74,81,81,81,78,Marcelo Brozović,29,58000000.0,110000.0
68,V. Osimhen,ST ,83,89,Napoli,2020 ~ 2025,378,322,409,407,332,98,1999,90,82,65,78,40,81,Victor Osimhen,23,58000000.0,72000.0
69,R. Sterling,LW RW ST ,85,85,Chelsea,2022 ~ 2027,353,386,456,357,329,147,2091,90,79,78,86,45,67,Raheem Sterling,27,57500000.0,180000.0
70,F. Chiesa,LW ,84,87,Juventus,2022 ~ 2025,363,383,437,378,322,153,2073,91,81,76,86,48,73,Federico Chiesa,24,57500000.0,140000.0
71,J. Koundé,CB RB ,84,89,FC Barcelona,2022 ~ 2027,285,289,398,332,313,253,1926,84,45,64,74,85,78,Jules Koundé,23,57500000.0,150000.0
72,Éder Militão,CB ,84,89,Real Madrid,2019 ~ 2025,312,320,388,354,353,255,2043,86,50,70,72,85,82,Éder Gabriel Militão,24,57500000.0,160000.0
73,R. James,RWB RB ,84,88,Chelsea,2017 ~ 2025,382,402,408,395,378,245,2261,81,72,83,82,81,82,Reece James,22,57000000.0,120000.0
74,J. Gvardiol,CB LB ,82,89,RB Leipzig,2021 ~ 2027,311,343,373,379,352,247,2044,81,54,69,74,82,83,Joško Gvardiol,20,56000000.0,44000.0
75,Thiago,CM ,86,86,Liverpool,2020 ~ 2024,373,432,388,369,400,219,2227,61,72,87,90,73,69,Thiago Alcântara,31,55500000.0,180000.0
76,D. Alaba,CB LB ,86,86,Real Madrid,2021 ~ 2026,379,404,400,393,395,256,2277,79,71,83,80,85,77,David Alaba,30,55500000.0,220000.0
77,C. Gakpo,LW ,83,88,Liverpool,2023 ~ 2028,382,392,404,397,327,109,2058,85,82,77,84,42,73,Cody Gakpo,23,55000000.0,130000.0
78,C. Immobile,ST ,86,86,Lazio,2016 ~ 2025,391,345,416,400,362,99,2060,85,87,68,80,39,75,Ciro Immobile,32,55000000.0,100000.0
79,L. Pellegrini,CAM CM ,84,87,Roma,2017 ~ 2026,387,407,405,389,395,222,2258,79,77,83,84,74,78,Lorenzo Pellegrini,26,55000000.0,95000.0
80,M. Depay,CF LW ST ,85,85,FC Barcelona,2021 ~ 2023,389,418,411,401,346,74,2089,83,84,82,86,30,79,Memphis Depay,28,55000000.0,230000.0
81,N. Fekir,CAM ,85,85,Real Betis,2019 ~ 2026,373,414,424,392,358,106,2128,83,82,82,87,38,80,Nabil Fekir,28,54500000.0,48000.0
82,W. Saliba,CB ,81,89,Arsenal,2019 ~ 2024,275,313,351,308,317,249,1855,81,39,67,72,82,79,William Saliba,21,54000000.0,62000.0
83,L. Messi,RW ,91,91,Paris Saint Germain,2021 ~ 2023,423,464,441,383,346,79,2190,81,89,90,94,34,64,Lionel Messi,35,54000000.0,195000.0
84,T. Müller,CAM CF ,86,86,FC Bayern München,2008 ~ 2024,420,380,371,383,372,150,2128,67,83,83,80,55,70,Thomas Müller,32,54000000.0,105000.0
85,R. Lukaku,ST ,85,85,Inter,"Jun 30, 2023",405,374,352,398,347,101,2031,80,85,75,77,38,82,Romelu Lukaku,29,54000000.0,185000.0
86,Gabriel Jesus,ST RW ,84,86,Arsenal,2022 ~ 2027,395,371,437,399,356,103,2109,84,82,75,88,40,78,Gabriel Fernando de Jesus,25,53500000.0,130000.0
87,A. Hakimi,RB RWB ,84,87,Paris Saint Germain,2021 ~ 2026,382,385,425,396,368,227,2229,92,75,79,80,75,78,Achraf Hakimi,23,53500000.0,90000.0
88,A. Tchouaméni,CDM CM ,83,89,Real Madrid,2022 ~ 2028,345,371,373,391,377,240,2145,73,70,79,78,81,81,Aurélien Tchouaméni,22,53500000.0,145000.0
89,J. Sancho,LW RW LM ,83,87,Manchester United,2021 ~ 2026,356,392,414,288,304,92,1898,79,70,80,87,33,49,Jadon Sancho,22,53000000.0,140000.0
90,P. Schick,ST ,84,86,Bayer 04 Leverkusen,2020 ~ 2027,391,366,388,389,311,87,1989,78,82,71,83,36,76,Patrik Schick,26,53000000.0,88000.0
91,F. Kostić,LM LW LWB ,85,85,Juventus,2022 ~ 2026,382,408,406,398,369,209,2236,85,78,82,82,68,80,Filip Kostić,29,53000000.0,165000.0
92,N. Zaniolo,CF RW RM ,81,88,Roma,2018 ~ 2024,342,360,407,377,371,185,2090,87,74,72,82,62,83,Nicolò Zaniolo,22,53000000.0,71000.0
93,Oyarzabal,LW RW ,84,86,Real Sociedad,2014 ~ 2024,382,397,397,369,332,117,2044,79,83,80,83,41,62,Mikel Oyarzabal Ugarte,25,53000000.0,57000.0
94,Gerard Moreno,ST ,85,85,Villarreal,2018 ~ 2027,408,383,390,395,351,126,2109,78,86,77,83,46,72,Gerard Moreno Balagueró,30,53000000.0,64000.0
95,Y. Tielemans,CM CDM ,84,86,Leicester City,2019 ~ 2023,390,413,336,393,378,208,2168,56,80,86,79,70,73,Youri Tielemans,25,52500000.0,115000.0
96,P. Pogba,CM CDM LM ,85,85,Juventus,2022 ~ 2026,392,435,345,407,388,183,2170,67,80,85,85,62,80,Paul Pogba,29,52500000.0,165000.0
97,Rodrygo,RW LW ST ,81,88,Real Madrid,2019 ~ 2028,360,384,426,354,308,93,1967,88,77,74,84,32,61,Rodrygo Silva de Goes,21,52500000.0,130000.0
98,Bruno Guimarães,CM CDM ,83,87,Newcastle United,2022 ~ 2026,348,391,379,367,387,238,2165,69,69,80,83,79,80,Bruno Guimarães Moura,24,52000000.0,105000.0
99,D. Rice,CDM CM ,84,87,West Ham United,2015 ~ 2024,321,367,345,386,377,246,2089,71,65,75,76,82,83,Declan Rice,23,52000000.0,83000.0
100,R. Araujo,CB RB ,83,89,FC Barcelona,2018 ~ 2026,313,279,349,343,323,250,1910,79,51,65,61,83,83,Ronald Araujo,23,52000000.0,135000.0
101,É. Mendy,GK ,86,87,Chelsea,2020 ~ 2025,88,130,236,218,108,34,1234,84,82,81,88,34,85,Édouard Mendy,30,51000000.0,130000.0
102,L. Díaz,LW LM ,84,85,Liverpool,2022 ~ 2027,368,380,429,392,316,100,2049,91,80,75,87,34,73,Luis Díaz,25,50500000.0,155000.0
103,J. Maddison,RM CAM ,84,85,Leicester City,2018 ~ 2024,360,428,396,348,358,166,2121,73,81,85,85,54,63,James Maddison,25,50500000.0,115000.0
104,Rúben Neves,CDM CM ,84,87,Wolverhampton Wanderers,2017 ~ 2024,368,411,340,379,390,234,2178,59,74,86,77,76,73,Rúben Diogo da Silva Neves,25,50500000.0,105000.0
105,Pau Torres,CB ,83,89,Villarreal,2016 ~ 2024,289,294,346,340,313,252,1893,73,38,68,70,84,81,Pau Francisco Torres,25,50500000.0,43000.0
106,M. Mount,CAM RW CM ,83,86,Chelsea,2016 ~ 2024,384,415,386,362,360,153,2116,74,81,84,82,55,67,Mason Mount,23,49500000.0,120000.0
107,M. Rashford,LW LM ST ,83,86,Manchester United,2014 ~ 2024,376,398,414,393,352,111,2097,88,82,76,83,42,73,Marcus Rashford,24,49500000.0,140000.0
108,C. Romero,CB ,83,88,Tottenham Hotspur,2022 ~ 2027,299,284,365,326,307,257,1885,73,46,59,66,85,81,Cristian Romero,24,49500000.0,95000.0
109,Antony,RW RM ,82,88,Manchester United,2022 ~ 2027,343,393,434,353,350,125,2052,90,75,75,86,46,70,Antony Matheus dos Santos,22,49000000.0,130000.0
110,Ferran Torres,LW ST ,82,88,FC Barcelona,2022 ~ 2027,389,382,411,372,330,87,2030,84,79,79,83,35,67,Ferran Torres García,22,49000000.0,150000.0
