,klub,pilkarz,pozycja,data_urodzenia,wzrost,dominujaca_noga,kontrakt_od,kontrakt_do,wartosc_eur,liga,wiek
0,Bayern Monachium,Manuel Neuer ,Bramkarz,27 mar 1986 (36),"1,93m",prawonożny,1 lip 2011,30 cze 2024,12000000.0,bundesliga,36
1,Bayern Monachium,Sven Ulreich,Bramkarz,3 sie 1988 (34),"1,92m",prawonożny,1 lip 2021,30 cze 2024,900000.0,bundesliga,34
2,Bayern Monachium,Johannes Schenk,Bramkarz,13 sty 2003 (20),"1,91m", ,1 lip 2022,30 cze 2024,300000.0,bundesliga,20
3,Bayern Monachium,Matthijs de Ligt,Środkowy obrońca,12 sie 1999 (23),"1,89m",prawonożny,19 lip 2022,30 cze 2027,70000000.0,bundesliga,23
4,Bayern Monachium,Dayot Upamecano,Środkowy obrońca,27 paź 1998 (24),"1,86m",prawonożny,5 lip 2021,30 cze 2026,60000000.0,bundesliga,24
5,Bayern Monachium,Lucas Hernández ,Środkowy obrońca,14 lut 1996 (26),"1,84m",lewonożny,1 lip 2019,30 cze 2024,50000000.0,bundesliga,26
6,Bayern Monachium,Alphonso Davies,Lewy obrońca,2 lis 2000 (22),"1,85m",lewonożny,1 sty 2019,30 cze 2025,70000000.0,bundesliga,22
7,Bayern Monachium,Daley Blind,Lewy obrońca,9 mar 1990 (32),"1,80m",lewonożny,5 sty 2023,30 cze 2023,6000000.0,bundesliga,32
8,Bayern Monachium,Benjamin Pavard,Prawy obrońca,28 mar 1996 (26),"1,86m",prawonożny,1 lip 2019,30 cze 2024,35000000.0,bundesliga,26
9,Bayern Monachium,Noussair Mazraoui ,Prawy obrońca,14 lis 1997 (25),"1,83m",prawonożny,1 lip 2022,30 cze 2026,28000000.0,bundesliga,25
10,Bayern Monachium,Josip Stanisic,Prawy obrońca,2 kwi 2000 (22),"1,87m",obunożny,1 sie 2021,30 cze 2026,8000000.0,bundesliga,22
11,Bayern Monachium,Bouna Sarr,Prawy obrońca,31 sty 1992 (30),"1,77m",prawonożny,5 paź 2020,30 cze 2024,2500000.0,bundesliga,30
12,Bayern Monachium,Joshua Kimmich,Defensywny pomocnik,8 lut 1995 (27),"1,77m",prawonożny,2 lip 2015,30 cze 2025,80000000.0,bundesliga,27
13,Bayern Monachium,Leon Goretzka,Środkowy pomocnik,6 lut 1995 (27),"1,89m",prawonożny,1 lip 2018,30 cze 2026,65000000.0,bundesliga,27
14,Bayern Monachium,Ryan Gravenberch,Środkowy pomocnik,16 maj 2002 (20),"1,90m",prawonożny,1 lip 2022,30 cze 2027,30000000.0,bundesliga,20
15,Bayern Monachium,Marcel Sabitzer ,Środkowy pomocnik,17 mar 1994 (28),"1,77m",prawonożny,30 sie 2021,30 cze 2025,20000000.0,bundesliga,28
16,Bayern Monachium,Jamal Musiala,Ofensywny pomocnik,26 lut 2003 (19),"1,84m",prawonożny,1 lip 2020,30 cze 2026,100000000.0,bundesliga,19
17,Bayern Monachium,Paul Wanner,Ofensywny pomocnik,23 gru 2005 (17),"1,85m",lewonożny,31 sty 2022,30 cze 2027,3000000.0,bundesliga,17
18,Bayern Monachium,Arijon Ibrahimovic,Ofensywny pomocnik,11 gru 2005 (17),"1,76m",prawonożny,17 sty 2023,30 cze 2025,-,bundesliga,17
19,Bayern Monachium,Leroy Sané,Lewy napastnik,11 sty 1996 (27),"1,83m",lewonożny,15 lip 2020,30 cze 2025,70000000.0,bundesliga,27
20,Bayern Monachium,Sadio Mané ,Lewy napastnik,10 kwi 1992 (30),"1,74m",prawonożny,1 lip 2022,30 cze 2025,60000000.0,bundesliga,30
21,Bayern Monachium,Serge Gnabry,Prawy napastnik,14 lip 1995 (27),"1,76m",prawonożny,1 lip 2017,30 cze 2026,65000000.0,bundesliga,27
22,Bayern Monachium,Kingsley Coman,Prawy napastnik,13 cze 1996 (26),"1,81m",prawonożny,1 lip 2017,30 cze 2027,60000000.0,bundesliga,26
23,Bayern Monachium,Thomas Müller,Cofnięty napastnik,13 wrz 1989 (33),"1,85m",prawonożny,1 lip 2009,30 cze 2024,18000000.0,bundesliga,33
