,ws_nazwa_pilkarza,ws_klub,ws_wiek,ws_pozycja1,ws_pozycja2,ws_pozycja3,ws_wystepy,ws_minuty,ws_bramki,ws_asysty,ws_zolte_kartki,ws_czerwone_kartki,ws_strzaly_na_mecz,ws_skutecznosc_podan,ws_wygrane_pojedynki_na_mecz,ws_MotM,ws_srednia_ocena
0,Benoît Badiashile,Chelsea, 21, D(C),,,1,90,-,-,-,-,-,96,6,-,7.89
1,Asmir Begovic,Everton, 35, GK,,,1,90,-,-,-,-,-,64,1,1,7.82
2,Erling Haaland,Man City, 22, FW,,,17(1),1491,22,3,3,-,3.9,76.1,1.3,4,7.70
3,Kieran Trippier,Newcastle, 32, D(LR),M(R),,19,1687,1,4,4,-,0.4,75.8,1.3,7,7.66
4,Kevin De Bruyne,Man City, 31, M(CLR),FW,,17(1),1495,3,10,1,-,2.5,79.5,0.3,5,7.62
5,Gabriel Jesus,Arsenal, 25, AM(LR),FW,,14,1226,5,5,4,-,3.6,81.9,1.7,2,7.59
6,Martin Ødegaard,Arsenal, 24, AM(CR),,,17,1440,8,5,3,-,2.5,82,0.5,5,7.52
7,Harry Kane,Tottenham, 29, AM(C),FW,,20,1788,15,1,4,-,3.6,71.9,1.7,3,7.50
8,Reiss Nelson,Arsenal, 23, M(LR),,,0(2),64,2,1,-,-,1.5,89.5,-,-,7.48
9,James Maddison,Leicester, 26, AM(CLR),,,13,1100,7,4,5,-,3,84.2,0.2,3,7.39
10,Ivan Toney,Brentford, 26, FW,,,17,1522,13,3,6,-,2.9,62.6,3,3,7.36
11,Bukayo Saka,Arsenal, 21, D(L),M(CLR),,18,1539,6,7,4,-,1.9,83.2,0.3,1,7.33
12,Aleksandar Mitrovic,Fulham, 28, FW,,,16,1376,11,1,5,-,4.5,61.2,4.6,4,7.32
13,Gabriel Martinelli,Arsenal, 21, AM(L),FW,,18,1534,7,2,2,-,2.4,83.4,0.4,1,7.32
14,Rodri,Man City, 26, D(C),DMC,,18,1571,1,4,2,-,1.5,91.2,2.3,1,7.31
15,Bruno Fernandes,Man Utd, 28, M(CLR),,,18,1620,4,3,5,-,2.2,78.3,0.6,3,7.31
16,Bruno Guimarães,Newcastle, 25, DMC,,,16,1315,3,3,3,-,0.9,83.1,0.5,1,7.30
17,Joelinton,Newcastle, 26, AM(CLR),FW,,16(1),1420,2,1,6,-,1.6,81.8,2.1,1,7.29
18,Luis Díaz,Liverpool, 26, AM(L),,,7(1),615,3,2,2,-,2,81,0.8,1,7.28
19,Casemiro,Man Utd, 30, DMC,,,12(4),1159,2,3,5,-,1.1,78.6,1.8,2,7.27
20,Rodrigo Bentancur,Tottenham, 25, M(C),,,14(1),1261,4,2,5,-,0.8,86.3,0.8,1,7.24
21,Thomas Partey,Arsenal, 29, D(R),M(CR),,15,1305,2,-,2,-,1.3,86.9,1.3,1,7.23
22,Evan Ferguson,Brighton, 18, Forward,,,2(2),175,2,2,1,-,1.8,79.5,1,-,7.22
23,Solly March,Brighton, 28, M(CLR),,,18,1547,4,4,2,-,2.1,78.1,1.3,3,7.21
24,Roberto Firmino,Liverpool, 31, M(CLR),FW,,11(2),937,7,3,-,-,2.5,79.6,1,2,7.20
25,N'Golo Kanté,Chelsea, 31, DMC,,,2,174,-,-,-,-,1,84.8,-,1,7.20
26,Fabian Schär,Newcastle, 31, D(C),,,18,1605,1,-,4,-,1.3,75.7,2.3,1,7.18
27,Kepa Arrizabalaga,Chelsea, 28, GK,,,11,946,-,-,-,-,-,80.7,0.4,1,7.16
28,Wayne Hennessey,Nottingham Forest, 35, GK,,,1,90,-,-,-,-,-,58.3,-,-,7.16
29,Miguel Almirón,Newcastle, 28, AM(CLR),FW,,19,1584,9,1,1,-,2.3,84.3,0.2,1,7.15
30,Bernd Leno,Fulham, 30, GK,,,18,1620,-,-,2,-,-,74.5,0.4,3,7.15
31,Phil Foden,Man City, 22, AM(CLR),FW,,13(5),1048,7,3,1,-,1.6,85.2,0.8,-,7.11
